query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH (N2997)=[ALL TRAILS ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,2,OK,54,54
2,MATCH (N2997)=[ALL TRAILS ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,2,OK,5,5
3,MATCH (N2994)=[ALL TRAILS ?p :E{1..4}]=>(N3000) RETURN ?p LIMIT 100000,4,OK,6,6
4,MATCH (N2991)=[ALL TRAILS ?p :E{1..6}]=>(N3000) RETURN ?p LIMIT 100000,8,OK,5,5
5,MATCH (N2988)=[ALL TRAILS ?p :E{1..8}]=>(N3000) RETURN ?p LIMIT 100000,16,OK,5,5
6,MATCH (N2985)=[ALL TRAILS ?p :E{1..10}]=>(N3000) RETURN ?p LIMIT 100000,32,OK,5,5
7,MATCH (N2982)=[ALL TRAILS ?p :E{1..12}]=>(N3000) RETURN ?p LIMIT 100000,64,OK,6,6
8,MATCH (N2979)=[ALL TRAILS ?p :E{1..14}]=>(N3000) RETURN ?p LIMIT 100000,128,OK,6,6
9,MATCH (N2976)=[ALL TRAILS ?p :E{1..16}]=>(N3000) RETURN ?p LIMIT 100000,256,OK,7,7
10,MATCH (N2973)=[ALL TRAILS ?p :E{1..18}]=>(N3000) RETURN ?p LIMIT 100000,512,OK,9,9
11,MATCH (N2970)=[ALL TRAILS ?p :E{1..20}]=>(N3000) RETURN ?p LIMIT 100000,1024,OK,23,23
12,MATCH (N2967)=[ALL TRAILS ?p :E{1..22}]=>(N3000) RETURN ?p LIMIT 100000,2048,OK,22,22
13,MATCH (N2964)=[ALL TRAILS ?p :E{1..24}]=>(N3000) RETURN ?p LIMIT 100000,4096,OK,39,39
14,MATCH (N2961)=[ALL TRAILS ?p :E{1..26}]=>(N3000) RETURN ?p LIMIT 100000,8192,OK,76,76
15,MATCH (N2958)=[ALL TRAILS ?p :E{1..28}]=>(N3000) RETURN ?p LIMIT 100000,16384,OK,156,156
16,MATCH (N2955)=[ALL TRAILS ?p :E{1..30}]=>(N3000) RETURN ?p LIMIT 100000,32768,OK,325,325
17,MATCH (N2952)=[ALL TRAILS ?p :E{1..32}]=>(N3000) RETURN ?p LIMIT 100000,65536,OK,697,697
18,MATCH (N2949)=[ALL TRAILS ?p :E{1..34}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1150,1150
19,MATCH (N2946)=[ALL TRAILS ?p :E{1..36}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1319,1319
20,MATCH (N2943)=[ALL TRAILS ?p :E{1..38}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1608,1608
21,MATCH (N2940)=[ALL TRAILS ?p :E{1..40}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2166,2166
22,MATCH (N2937)=[ALL TRAILS ?p :E{1..42}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,3246,3246
23,MATCH (N2934)=[ALL TRAILS ?p :E{1..44}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,5619,5619
24,MATCH (N2931)=[ALL TRAILS ?p :E{1..46}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,10203,10203
25,MATCH (N2928)=[ALL TRAILS ?p :E{1..48}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,20033,20033
26,MATCH (N2925)=[ALL TRAILS ?p :E{1..50}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,40542,40542
27,MATCH (N2922)=[ALL TRAILS ?p :E{1..52}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
28,MATCH (N2919)=[ALL TRAILS ?p :E{1..54}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
29,MATCH (N2916)=[ALL TRAILS ?p :E{1..56}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
30,MATCH (N2913)=[ALL TRAILS ?p :E{1..58}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
31,MATCH (N2910)=[ALL TRAILS ?p :E{1..60}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
32,MATCH (N2907)=[ALL TRAILS ?p :E{1..62}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
33,MATCH (N2904)=[ALL TRAILS ?p :E{1..64}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
34,MATCH (N2901)=[ALL TRAILS ?p :E{1..66}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
35,MATCH (N2898)=[ALL TRAILS ?p :E{1..68}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
36,MATCH (N2895)=[ALL TRAILS ?p :E{1..70}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
37,MATCH (N2892)=[ALL TRAILS ?p :E{1..72}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
38,MATCH (N2889)=[ALL TRAILS ?p :E{1..74}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
39,MATCH (N2886)=[ALL TRAILS ?p :E{1..76}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
40,MATCH (N2883)=[ALL TRAILS ?p :E{1..78}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
41,MATCH (N2880)=[ALL TRAILS ?p :E{1..80}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
