query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH (N2997)=[ANY TRAILS ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,41,41
2,MATCH (N2997)=[ANY TRAILS ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
3,MATCH (N2994)=[ANY TRAILS ?p :E{1..4}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
4,MATCH (N2991)=[ANY TRAILS ?p :E{1..6}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
5,MATCH (N2988)=[ANY TRAILS ?p :E{1..8}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
6,MATCH (N2985)=[ANY TRAILS ?p :E{1..10}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
7,MATCH (N2982)=[ANY TRAILS ?p :E{1..12}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
8,MATCH (N2979)=[ANY TRAILS ?p :E{1..14}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
9,MATCH (N2976)=[ANY TRAILS ?p :E{1..16}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
10,MATCH (N2973)=[ANY TRAILS ?p :E{1..18}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
11,MATCH (N2970)=[ANY TRAILS ?p :E{1..20}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
12,MATCH (N2967)=[ANY TRAILS ?p :E{1..22}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
13,MATCH (N2964)=[ANY TRAILS ?p :E{1..24}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
14,MATCH (N2961)=[ANY TRAILS ?p :E{1..26}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
15,MATCH (N2958)=[ANY TRAILS ?p :E{1..28}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
16,MATCH (N2955)=[ANY TRAILS ?p :E{1..30}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
17,MATCH (N2952)=[ANY TRAILS ?p :E{1..32}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
18,MATCH (N2949)=[ANY TRAILS ?p :E{1..34}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,8,8
19,MATCH (N2946)=[ANY TRAILS ?p :E{1..36}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,7,7
20,MATCH (N2943)=[ANY TRAILS ?p :E{1..38}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,8,8
21,MATCH (N2940)=[ANY TRAILS ?p :E{1..40}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,8,8
22,MATCH (N2937)=[ANY TRAILS ?p :E{1..42}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,8,8
23,MATCH (N2934)=[ANY TRAILS ?p :E{1..44}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,8,8
24,MATCH (N2931)=[ANY TRAILS ?p :E{1..46}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,9,9
25,MATCH (N2928)=[ANY TRAILS ?p :E{1..48}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,9,9
26,MATCH (N2925)=[ANY TRAILS ?p :E{1..50}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,10,10
27,MATCH (N2922)=[ANY TRAILS ?p :E{1..52}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,10,10
28,MATCH (N2919)=[ANY TRAILS ?p :E{1..54}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,10,10
29,MATCH (N2916)=[ANY TRAILS ?p :E{1..56}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,11,11
30,MATCH (N2913)=[ANY TRAILS ?p :E{1..58}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,15,15
31,MATCH (N2910)=[ANY TRAILS ?p :E{1..60}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,13,13
32,MATCH (N2907)=[ANY TRAILS ?p :E{1..62}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,13,13
33,MATCH (N2904)=[ANY TRAILS ?p :E{1..64}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,14,14
34,MATCH (N2901)=[ANY TRAILS ?p :E{1..66}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,15,15
35,MATCH (N2898)=[ANY TRAILS ?p :E{1..68}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,16,16
36,MATCH (N2895)=[ANY TRAILS ?p :E{1..70}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,17,17
37,MATCH (N2892)=[ANY TRAILS ?p :E{1..72}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,18,18
38,MATCH (N2889)=[ANY TRAILS ?p :E{1..74}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,19,19
39,MATCH (N2886)=[ANY TRAILS ?p :E{1..76}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,20,20
40,MATCH (N2883)=[ANY TRAILS ?p :E{1..78}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,22,22
41,MATCH (N2880)=[ANY TRAILS ?p :E{1..80}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,22,22
