query_number,query,results,status,exec_time_ms,enum_time_ms
2,"MATCH (:Person{id:""696585""})-[:Knows*1..1]->(n) RETURN n LIMIT 100000",11,OK,3,5
3,"MATCH (:Person{id:""696585""})-[:Knows*1..2]->(n) RETURN n LIMIT 100000",459,OK,0,40
4,"MATCH (:Person{id:""696585""})-[:Knows*1..3]->(n) RETURN n LIMIT 100000",23558,OK,0,1973
5,"MATCH (:Person{id:""696585""})-[:Knows*1..4]->(n) RETURN n LIMIT 100000",100000,OK,3,8543
6,"MATCH (:Person{id:""696585""})-[:Knows*1..5]->(n) RETURN n LIMIT 100000",100000,OK,0,8521
7,"MATCH (:Person{id:""696585""})-[:Knows*1..6]->(n) RETURN n LIMIT 100000",100000,OK,0,8541
8,"MATCH (:Person{id:""696585""})-[:Knows*1..7]->(n) RETURN n LIMIT 100000",100000,OK,1,8542
9,"MATCH (:Person{id:""696585""})-[:Knows*1..8]->(n) RETURN n LIMIT 100000",100000,OK,0,8663
10,"MATCH (:Person{id:""696585""})-[:Knows*1..9]->(n) RETURN n LIMIT 100000",100000,OK,0,8460
11,"MATCH (:Person{id:""696585""})-[:Knows*1..10]->(n) RETURN n LIMIT 100000",100000,OK,1,8582
12,"MATCH (:Person{id:""696585""})-[:Knows*1..11]->(n) RETURN n LIMIT 100000",100000,OK,1,8440
13,"MATCH (:Person{id:""696585""})-[:Knows*1..12]->(n) RETURN n LIMIT 100000",100000,OK,0,8381
